,Restaurant name,Categories,TEL/reservation,Addresses,Transportation,Operating Hours,Shop holidays,Budget,Method of payment,Table money/charge,Awards
787,washokukoshitsuizakayaumaka(和食 個室居酒屋 美味か 新宿南口店),"Izakaya (Tavern), Seafood, Nihonshu (Japanese sake)",050-5570-0698      (+81-50-5570-0698)    (For reservation only)        080-7723-8795        (+81-80-7723-8795)      (For inquiry)予約可※万が一ご予約の入れ違いが発生した場合は電話でのご予約を優先とさせていただきます。※電話でのご確認がとれない場合はキャンセル扱いとさせていただきます。,4-chome-1-13 Shinjuku Shinjuku City Tokyo-to                                     東京都                                              新宿区                                                新宿                                              4-1-13                    田園新宿ビル  4F                    Show larger map,JR新宿駅 東南口徒歩1分229 meters from Shinjuku.,【通常営業時間】15:00～24:00（L.O.23:00、ドリンクL.O.23:30）※昼宴会はご予約のみで８名様より承ります。Open on sundays,年中無休で営業しております！急なご予約ご相談お気軽にお問い合わせください！,"Dinner:￥2,000～￥2,999Lunch:～￥999",Credit Cards Accepted                  (VISA、Master、JCB、AMEX)                Electronic money Not Accepted,詳しくはお電話でお問い合わせ下さい。,
788,oosakatareyakinikumarufukupurodhu-sudobaiasuri-bo(大阪タレ焼肉 まる29 produced by AthReebo),"Yakiniku (BBQ Beef), Horumon (BBQ Offel), Korean cuisine",050-5456-3619      (+81-50-5456-3619)    (For reservation only)        03-6805-4529        (+81-3-6805-4529)      (For inquiry)予約可,2-chome-30-2 Taishido Setagaya City Tokyo-to                                     東京都                                              世田谷区                                                太子堂                                              2-30-2                    Show larger map,「三軒茶屋駅」から徒歩5分349 meters from Sangen Jaya.,【平日】17:00〜23:00【土、日、祝】17:00〜23:00※テイクアウトは23:30まで承りますOpen on sundays,なし,"Dinner:￥5,000～￥5,999",Credit Cards Accepted                  (VISA、Master、JCB、AMEX、Diners)                Electronic money Accepted                    (Transportation electronic money(Suica)、Rakuten-Edy、nanaco、WAON、iD、QUICPay)                QR code payment Not Accepted,,
789,Gojuuenyakitoritaishuusakabaguridocchin(50圓焼鳥 大衆酒場 ぐりどっちん 錦糸町店),"Izakaya (Tavern), Yakitori (Grilled chicken), Seafood",050-5869-7753      (+81-50-5869-7753)    (For reservation only)        03-6659-9930        (+81-3-6659-9930)      (For inquiry)予約可,4-chome-20-5 Kotobashi Sumida City Tokyo                                     東京都                                              墨田区                                                江東橋                                              4-20-5                    Show larger map,錦糸町駅より徒歩2分239 meters from Kinshicho.,[月～木]12:00～24:00[金・土]12:00～翌5:00Open on sundays,年中無休,"Dinner:￥2,000～￥2,999",Credit Cards Accepted                  (VISA、Master)                Electronic money AcceptedQR code payment Accepted                    (PayPay),,
790,Saimien(中華居酒屋 彩味園 茅場町店),"Chinese, Izakaya (Tavern), Dumplings",050-5872-3710      (+81-50-5872-3710)    (For reservation only)        03-3808-1588        (+81-3-3808-1588)      (For inquiry)予約可,2-chome-16-11 Nihonbashikayabacho Chuo City Tokyo-to                                     東京都                                              中央区                                                日本橋茅場町                                              2-16-11                    Show larger map,地下鉄 茅場町駅 1番出口 徒歩1分221 meters from Kayabacho.,ランチ　11:00～15:00（L.O.14:30）ディナー　17:00～23:00（L.O.22:30）,日曜日,"Dinner:￥3,000～￥3,999Lunch:～￥999",Credit Cards Accepted                  (VISA、Master、JCB、AMEX、Diners)                Electronic money Not Accepted,なし,
791,Tantotan yakinikuiwashige(タンとタン 焼肉いわしげ 五反田店),"Yakiniku (BBQ Beef), Shabu Shabu (Japanese Steamboat), Izakaya (Tavern)",050-5872-6988      (+81-50-5872-6988)    (For reservation only)        03-6420-0726        (+81-3-6420-0726)      (For inquiry)予約可※2時間制とさせていただいております。あらかじめご了承ください。,1-chome-2-8 Higashigotanda Shinagawa City Tokyo                                     東京都                                              品川区                                                西五反田                                              1-2-8                                          FPGlinks五反田 8F                    Show larger map,都営浅草線 五反田駅　A1出口　徒歩1分ＪＲ 五反田駅　徒歩1分102 meters from Gotanda.,現在の営業時間       ※2022.3/22更新[全日]11:30~14:00(L.O.13:30)17:00~22:00(L.O22:30)Open on sundays,不定休,"Dinner:￥6,000～￥7,999Lunch:￥1,000～￥1,999",Credit Cards Accepted                  (VISA、Master、JCB、AMEX、Diners)                Electronic money Not AcceptedQR code payment Not Accepted,,
792,Sakabashinatoratoukyouekiten(酒場シナトラ 東京駅店),"Izakaya (Tavern), Seafood, Nihonshu (Japanese sake)",050-5595-7818      (+81-50-5595-7818)    (For reservation only)        03-6551-2070        (+81-3-6551-2070)      (For inquiry)予約可※ご注意※・バースデープレートやアレルギーなどのご要望、ご予約内容のご変更などがございましたら、店舗までご相談ください。・ご予約の変更につきましては、前日までに必ず店舗へご連絡いただきますようお願い申し上げます。,1-chome-9-1 Marunouchi Chiyoda City Tokyo-to                                     東京都                                              千代田区                                                丸の内                                              1-9-1                    東京駅一番街  2F 東京グルメゾン                    Show larger map,東京駅八重洲北口改札すぐ188 meters from Tokyo.,[月～金]【ランチ】11:00～14:00  【ディナー】14:00〜23:00(L.O. フード22:00 ドリンク22:30)[土]11:00～23:00(L.O. フード22:00 ドリンク22:30)[日・祝〕11:00～22:00(L.O. フード21:00 ドリンク21:30)Open on sundays,【定休日なし】 東京駅のモダン割烹。和の逸品料理と日本酒を堪能,"Dinner:￥4,000～￥4,999Lunch:￥1,000～￥1,999",Credit Cards Accepted                  (VISA、Master、JCB、AMEX、Diners)                Electronic money Accepted                    (Transportation electronic money(Suica)、Rakuten-Edy、nanaco、WAON、iD)                QR code payment Accepted                    (PayPay、Rakuten Pay),,
793,Toutou(東灯),"Bar, casual dining, Pizza",050-5596-8275      (+81-50-5596-8275)    (For reservation only)        03-6310-4873        (+81-3-6310-4873)      (For inquiry)予約可,3-chome-16-12 Higashinakano Nakano City Tokyo-to                                     東京都                                              中野区                                                東中野                                              3-16-12                    Show larger map,JR「東中野」駅　西口　徒歩5分大江戸線「東中野」駅　A2　徒歩5分東西線「落合」駅　徒歩5分294 meters from Higashi Nakano.,[昼から夜までOPEN!]11:30-22:30(22:00L.O.)Open on sundays,不定休,"Dinner:￥3,000～￥3,999Lunch:￥1,000～￥1,999",Credit Cards Accepted                  (JCB、AMEX、Diners、VISA、Master)                Electronic money Not AcceptedQR code payment Not Accepted,チャージなし,
794,sherasukoandonikuzushitabehoudainikubarukoshitsuizakayakanata(シェラスコ＆肉寿司 食べ放題 肉バル個室居酒屋 KANATA 渋谷店),"Izakaya (Tavern), Motsu Nabe (Offel Hot Pot), Dining bar",050-5590-6312      (+81-50-5590-6312)    (For reservation only)        03-6380-0140        (+81-3-6380-0140)      (For inquiry)予約可当日のキャンセル、人数減少はキャンセル料の対象となります。コース予約：コース料金100％頂戴致します席のみ予約：お一人様あたり1000円頂戴致します団体様ついては2週間前までのキャンセルのみ承ります。それ以降はキャンセル料金の対象になります。また確認が取れない場合、トラブル防止のためキャンセル処理させていただきます。,31-9 Udagawacho Shibuya City Tokyo-to                                     東京都                                              渋谷区                                                宇田川町                                              31-9                                          ハナテイビル 6F                    Show larger map,ＪＲ 渋谷駅 ハチ公口 徒歩3分東急田園都市線 渋谷駅 徒歩3分地下鉄銀座線 渋谷駅 徒歩3分京王井の頭線 渋谷駅 徒歩3分456 meters from Shibuya.,月～金、祝前日: 17:00～翌5:00 （料理L.O. 翌4:30 ドリンクL.O. 翌4:30）土、日、祝日: 12:00～翌5:00 （料理L.O. 翌4:30 ドリンクL.O. 翌4:30）Open on sundays,年中無休,"Dinner:￥3,000～￥3,999Lunch:￥1,000～￥1,999",Credit Cards Accepted                  (VISA、Master、JCB、AMEX)                Electronic money Not Accepted,2名様席のみ予約の場合2ドリンク2フード制,
795,Osteria del Ciao(オステリア デル チャオ),"Italian, Pasta, Pizza",050-5595-7027      (+81-50-5595-7027)    (For reservation only)        03-5708-5722        (+81-3-5708-5722)      (For inquiry)完全予約制,2-chome-3-20 Mita Meguro City Tokyo-to                                     東京都                                              目黒区                                                三田                                              2-3-20                                          ピアレス 2F                    Show larger map,ＪR線恵比寿駅東口より徒歩8分(恵比寿ガーデンプレイス方面)日比谷線恵比寿駅1番出口より徒歩12分(ＪR恵比寿駅方面)JR線目黒駅西口より徒歩10分(恵比寿方面)632 meters from Ebisu.,[水～金]12:00〜15:00(L.O.14:00)※(要)前日以降のご予約のみ18:00～24:00 (L.O.23:00)[土・日・祝］12:00〜15:00 (L.O.14:30)※ご予約のお客様優先になります。   ご案内出来かねる場合がございますので、事前にご確認      頂けますと助かります。18:00〜23:00 (L.O.22:00)Open on sundays,月曜日（祝日の場合も含む)※※貸切等のご相談は承ります。,"Dinner:￥6,000～￥7,999Lunch:￥2,000～￥2,999",Credit Cards Accepted                  (VISA、Master、JCB、AMEX、Diners)                Electronic money Not AcceptedQR code payment Not Accepted,サービス料、チャージ料は頂いておりません,
796,Urufugyangupakkukafe(ウルフギャング・パック カフェ 池袋店),"California, Dining bar, Burger",050-5872-0524      (+81-50-5872-0524)    (For reservation only)        03-5957-2833        (+81-3-5957-2833)      (For inquiry)予約可,1-chome-21-13 Higashiikebukuro Toshima City Tokyo-to                                     東京都                                              豊島区                                                東池袋                                              1-21-13                                          aune池袋 12F                    Show larger map,JR池袋駅東口　徒歩3分444 meters from Ikebukuro.,[月～金]11:00～15:0017:00～23:00（フードLO22:30/ドリンクLO22:45）[土日祝]11:00～23:00（フードLO22:30/ドリンクLO22:45）Open on sundays,-,"Dinner:￥2,000～￥2,999Lunch:￥1,000～￥1,999",Credit Cards Accepted                  (VISA、Master、JCB、AMEX、Diners)                Electronic money Accepted                    (Transportation electronic money(Suica)、Rakuten-Edy、nanaco、WAON、iD、QUICPay)                QR code payment Accepted                    (PayPay、d Barai、Rakuten Pay、au PAY),テーブルチャージをお一人様につき250円頂戴しております。,
797,Kafeterao(カフェテラオ),"Dining bar, Steak, Cafe",050-5872-0339      (+81-50-5872-0339)    (For reservation only)        03-5962-7722        (+81-3-5962-7722)      (For inquiry)予約可電話でも予約できますが、混雑する時間帯には電話に出られないことがあります。facebookページ他でも予約を承りますので、ご利用ください。,2-chome-26-16 Higashi Shibuya City Tokyo-to                                     東京都                                              渋谷区                                                東                                              2-26-16                                          HANAビル 1F                    Show larger map,代官山駅からログロード沿いに歩き、山手線をまたぐ歩道橋を渡ってすぐ。9分。渋谷駅から歩いて12分。新南口から歩いて5分。恵比寿駅から歩いて10分。田町駅から渋谷駅のバスに乗り、渋谷車庫前で降りてすぐ。562 meters from Daikan yama.,月曜　予約のみ火曜　予約のみ水曜18:00〜22:00木曜〜土曜12:00〜24:00 日曜・祝日12:00〜18:00Open on sundays,不定休,"Dinner:￥5,000～￥5,999Lunch:￥2,000～￥2,999",Credit Cards Accepted                  (VISA、Master、JCB、AMEX、Diners)                Electronic money Not Accepted,サービス料なし、21時半以降500円,
798,iL-CHIANTI-EST(イルキャンティ・エスト),"Italian, Pasta, Izakaya (Tavern)",03-5391-7878      (+81-3-5391-7878)    予約可『簡単ネット予約はこちら！』当日リアルタイム予約が可能！パーティープランは前日22時までご予約承ります。簡単ネット予約をご利用ください。備考欄のURLからネット予約サイトに入れます。,2-chome-30-14 Minamiikebukuro Toshima City Tokyo-to                                     東京都                                              豊島区                                                南池袋                                              2-30-14                                          ホテルリソル池袋　１Ｆ                    Show larger map,JR「池袋駅」より徒歩6分有楽町線「東池袋駅」1番出口より徒歩1分266 meters from Higashi Ikebukuro.,ランチ11:30〜15:00(L.O.14:30)※日祝はグランドメニューのみディナー17:30～22:00(L.O.21:00)Open on sundays,無休（年末年始等は除く）,"Dinner:￥3,000～￥3,999Lunch:￥1,000～￥1,999",Credit Cards Accepted                  (JCB、AMEX、VISA、Master、Diners)                Electronic money Accepted                    (Transportation electronic money(Suica)、Rakuten-Edy、WAON、iD)                QR code payment Accepted                    (PayPay、d Barai、Rakuten Pay、au PAY),※17時以降お席料の代わりにパン代を頂戴いたします。,
799,Koshitsukaisekikitaooji(個室会席 北大路 品川茶寮),"Kaiseki (Traditional Japanese), Izakaya (Tavern), Sukiyaki",050-5868-8705      (+81-50-5868-8705)    (For reservation only)        03-5463-1077        (+81-3-5463-1077)      (For inquiry)予約可大幅人数の変更などは、お早目のご連絡をお願いいたします。,Konan Minato City Tokyo                                     東京都                                              港区                                                港南                                              2-16-3                                          品川グランドセントラルタワー B1F                                      This shop has moved from 「港区港南2-16-3」.                  *Information before relocation is not updated.                See shop information before relocationShow larger map,▼道案内※JR品川駅は当ビルの２F部分になります。※当店はグランドセントラルタワーB1Fです。①JR品川駅中央改札⇒港南口方面コンコース直進　　　　　　　　　　⇒右角【DEAN & DELUCA 品川】を右折②２差路コンコースの手前側コンコースを直進　（インターシティ側ではありません）③右エクセルシオールカフェ⇒三井住友銀行⇒三菱UFJ銀行を通り過ぎ④右角スケルトンのエレベーターを右折（カフェドクリエ）⇒エスカレーター下る⑤左に当店と姉妹店の【寿司北大路】看板方面の自動ドア入る⑥１F姉妹店の【寿司北大路】を通り過ぎると、B1Fに行くエスカレーターがあります。　降りてすぐのところに当店があります。【寿司北大路】の真下です。294 meters from Shinagawa.,【平日】ご昼食 11:30～14:00（LO.13:00）／ご夕食 17:00～21：00（LO.19：30）【土曜日】ご昼食 11:30～15:00（LO.13:00）／ご夕食 17:00～21：00（L.O.19：30）【日曜日・祝日】休業,不定休日(年末年始・お盆休み）／都会の喧騒を忘れさせる和の空間で、熟練板前による四季折々の日本料理をご堪能いただけます。洗練されたお料理と空間、着物スタッフによる和のおもてなしは特別なお食事に最適。重要な接待、ご会食、顔合わせやお食い初めなど、大切なシーンにご利用ください。,"Dinner:￥6,000～￥7,999Lunch:￥2,000～￥2,999",Credit Cards Accepted                  (VISA、Master、JCB、AMEX、Diners)                Electronic money Not AcceptedQR code payment Not Accepted,サービス料10％,
800,rakanka(らかんか),"medicinal foods, Chinese hot pot / fire pot, Wine bar",050-5868-3541      (+81-50-5868-3541)    (For reservation only)        03-6264-5174        (+81-3-6264-5174)      (For inquiry)予約可薬膳鍋は完全予約制,5-chome-9-7 Shinbashi Minato City Tokyo-to                                     東京都                                              港区                                                新橋                                              5-9-7                                          第19大協ビル B1F                    Show larger map,ＪＲ山手線・京浜東北線【新橋駅】烏森口　徒歩６分東京メトロ銀座線【新橋駅】徒歩８分都営地下鉄大江戸線【汐留駅】徒歩７分408 meters from Shimbashi.,[全日]11:30～14:0017:00～22:00　　※営業時間短縮要請に伴い変わります。※ランチカレーはお休みしております。Open on sundays,年中無休。年末年始や臨時休業の際はInstagram、フェイスブックページ、ホームページなどでお知らせします。,"Dinner:￥8,000～￥9,999Lunch:￥1,000～￥1,999",Credit Cards Accepted                  (JCB、AMEX、Diners、VISA、Master)                Electronic money Accepted,,
801,Tosaryourineboke(土佐料理 祢保希 日本橋店),"Seafood, Shabu Shabu (Japanese Steamboat), Nihonshu (Japanese sake)",050-5868-2311      (+81-50-5868-2311)    (For reservation only)        03-3275-9640        (+81-3-3275-9640)      (For inquiry)予約可,2-chome-4-3 Nihonbashimuromachi Chuo City Tokyo-to                                     東京都                                              中央区                                                日本橋室町                                              2-4-3                                          日本橋室町野村ビル YUITO 3F                    Show larger map,地下鉄銀座線 三越前駅 A9番出口 徒歩1分 (駅直結)地下鉄半蔵門線 三越前駅 A9番出口 徒歩1分 (駅直結)JR総武線 新日本橋駅 2番出口 徒歩3分JR神田駅 南口 徒歩7分地下鉄銀座線 日本橋駅 B12番出口 徒歩7分地下鉄東西線 日本橋駅 B12番出口 徒歩7分JR東京駅 日本橋口 徒歩10分122 meters from Mitsukoshimae.,【月～金】ランチ　11:30～14:30（L.O.14:00、ドリンクL.O.14:00）ディナー17:00～22:00（L.O.21:00、ドリンクL.O.21:30）【土・日・祝】ランチ　11:30～14:30（L.O.14:00、ドリンクL.O.14:00）ディナー17:00～21:00（L.O.20:00、ドリンクL.O.20:30）Open on sundays,1/29(土)～2/13(日)の期間は臨時休業とさせていただきます。,"Dinner:￥6,000～￥7,999Lunch:￥1,000～￥1,999",Credit Cards Accepted                  (VISA、Master、JCB、AMEX、Diners)                Electronic money Not Accepted,サービス料10％,
802,Ryuufu(龍府),"Chinese, Izakaya (Tavern), Dumplings",050-5597-1113      (+81-50-5597-1113)    (For reservation only)        03-5474-7888        (+81-3-5474-7888)      (For inquiry)予約可050-3464-7771050-5831-0347,Minamiaoyama Minato City Tokyo                                     東京都                                              港区                                                南青山                                              2-12-16                                          石塚商事ビル　Ｂ１Ｆ                    Show larger map,東京メトロ銀座線【外苑前駅】徒歩3分東京メトロ銀座線・半蔵門線、都営地下鉄大江戸線【青山一丁目駅】徒歩5分外苑前駅から281m281 meters from Gaiemmae.,［月～金］11:30～15:00（L.O.）／17:30～23:15（L.O.22:30）［土・日・祝］11:30～14:30（L.O.）／17:30～23:00Open on sundays,無休　（年末年始休みあり）,"Dinner:￥2,000～￥2,999Lunch:～￥999",Credit Cards Accepted                  (JCB、AMEX、Diners、VISA、Master)                Electronic money Accepted                    (Transportation electronic money(Suica)、Rakuten-Edy),アラカルト利用時、お一人様につき200円頂戴いたします。,
803,Saishuusakababunta(大衆酒場 文太),"Izakaya (Tavern), Izakaya (other), Seafood",050-5594-2081      (+81-50-5594-2081)    (For reservation only)        042-326-8539        (+81-42-326-8539)      (For inquiry)予約可週末は出来るだけコースでの予約をお願いしています。席のみの予約でも構いませんがお時間が掛かる事をご了承ください。,2-chome-3-7 Honcho Kokubunji Tokyo-to                                     東京都                                              国分寺市                                                本町                                              2-3-7                                          NFビル2階                    Show larger map,国分寺駅北口を出て富士そばさんを左へ。西友さん、TSUTAYAさんを抜けると三差路にあたります。真ん中の道（大学通り）をお進み頂き、４つめのビル(一階がやまかしさん)の二階に当店がございます。（北口より徒歩３～４分）265 meters from Kokubunji.,【月ｰ日】17：00頃～24：00料理・ドリンクラストオーダー23：30(１７時以前にご予約をご希望のお客様は前日までにお電話にてご相談ください)Open on sundays,なし,"Dinner:￥2,000～￥2,999",Credit Cards Accepted                  (VISA、Master、JCB、AMEX、Diners)                Electronic money Not Accepted,単品でご注文の場合、お通し代350円（消費税別）を頂戴しております。,
804,Hachoborino(ハチョボリーノ すずらん通り店),"Izakaya (Tavern), Italian, Pizza",050-5571-8261      (+81-50-5571-8261)    (For reservation only)        03-6280-4673        (+81-3-6280-4673)      (For inquiry)予約可こちらはハチョボリーノ『すずらん通り店』です。ハチョボリーノは３店舗あります。住所等ご確認ください。※ご予約、ご来店の際は、営業時間、商品提供時間など充分ご確認ください。※ランチタイムのお席のご予約はお受けしておりません。ご了承ください。,2-chome-22-11 Hatchobori Chuo City Tokyo                                     東京都                                              中央区                                                八丁堀                                              2-22-11                                          八丁堀鈴らんビル 2F                    Show larger map,八丁堀駅より徒歩1分202 meters from Hatchobori.,[月～金]11:30～14:00(L.O13:30)17:00～23:30(L.O23:00）[土]17:00～22:00(L.O21:30),日曜日・祝日,"Dinner:￥4,000～￥4,999Lunch:～￥999",Credit Cards Accepted                  (VISA、Master、JCB)                Electronic money AcceptedQR code payment Accepted                    (PayPay、d Barai、au PAY),テーブルチャージ300円(ディナータイムのみ)※コースの場合は料金に含まれております。,
805,Denenchoufuwashokuonoda(田園調布 和食 おのだ),"Kappo (Traditional Japanese), Suppon (Soft-shelled Turtle), Fugu (Blowfish)",050-5570-2462      (+81-50-5570-2462)    (For reservation only)        03-3722-2929        (+81-3-3722-2929)      (For inquiry)予約可,2-chome-50-1 Denenchofu Ota City Tokyo-to                                     東京都                                              大田区                                                田園調布                                              2-50-1                    Show larger map,田園調布駅駅前徒歩30秒54 meters from Den en Chofu.,[平日]17:00～22:00(L.O)[土・祝]17:00～22:00(L.O),日曜日　年末年始　お盆,"Dinner:￥8,000～￥9,999",Credit Cards Accepted                  (JCB、AMEX、Diners、VISA、Master)                Electronic money Not AcceptedQR code payment Accepted                    (PayPay),"1,200円(税込み) のお通しがあります",
806,Yakinikuhausudanke(焼肉ハウス 暖家 立川店),"Yakiniku (BBQ Beef), Cold noodles",050-5872-7991      (+81-50-5872-7991)    (For reservation only)        042-548-4129        (+81-42-548-4129)      (For inquiry)予約可,3-chome-6-23 Shibasakicho Tachikawa Tokyo-to                                     東京都                                              立川市                                                柴崎町                                              3-6-23                                          LXビル 7F                    Show larger map,JR中央線立川駅南口　徒歩3分多摩都市モノレール　立川南駅　徒歩2分72 meters from Tachikawa Minami.,月・水～日1５:00～22:０0(L.O.21:00)Open on sundays,火曜,"Dinner:￥6,000～￥7,999",Credit Cards Accepted                  (VISA、Master、JCB、AMEX、Diners)                Electronic money Not AcceptedQR code payment Accepted                    (PayPay),22時以降深夜料金10％頂いております,
807,Usagi(うさぎ),"Okonomiyaki, Okonomiyaki and takoyaki baked (other), Izakaya (Tavern)",050-5890-1984      (+81-50-5890-1984)    (For reservation only)        03-6804-2944        (+81-3-6804-2944)      (For inquiry)予約可,1-chome-22-1 Jingumae Shibuya City Tokyo-to                                     東京都                                              渋谷区                                                神宮前                                              1-22-1                                          オークラビル1F                    Show larger map,JR原宿駅 竹下口 徒歩3分 地下鉄千代田線明治神宮前駅 3番出口 徒歩5分原宿の駅から千駄ヶ谷小学校方面へ向かい、丁度電車と離れた最初の路地を曲がるとスグ徒歩３分226 meters from Harajuku.,[月～金]ランチ11:30～14:00(L.O14:00) ※平日限定のお得なランチセットメニューあります。ディナー18:00～23:30(フードL.O22:30、ドリンクL.O23:00)[土・日・祝]ランチ11:30～14:30(L.O14:30) ※ランチセットメニューは平日のみになります。ディナー18:00～23:00(フードL.O22:00、ドリンクL.O22:30)Open on sundays,木曜日、年末年始,"Dinner:￥3,000～￥3,999Lunch:～￥999",Credit Cards Accepted                  (JCB、AMEX、VISA、Master、Diners)                Electronic money Not AcceptedQR code payment Accepted                    (PayPay、Rakuten Pay),季節の旬のお野菜などを使ったお通しを350円でご提供させて頂いております。,
808,Nanaya(ななや),"Izakaya (Tavern), Soba, Oden",050-5456-6861      (+81-50-5456-6861)    (For reservation only)        03-3635-7783        (+81-3-3635-7783)      (For inquiry)予約可,4-chome-18-1 Kotobashi Sumida City Tokyo-to                                     東京都                                              墨田区                                                江東橋                                              4-18-1                                          ミナトビル 1F                                      This shop has moved from 「墨田区江東橋4-19-12」.                  *Information before relocation is not updated.                See shop information before relocationShow larger map,錦糸町駅　南口5分265 meters from Kinshicho.,月～土17：00～翌5：00(LO.4：00)日16:00~24:00（LO.23:30)Open on sundays,無し,"Dinner:￥3,000～￥3,999",Credit Cards Not AcceptedElectronic money Not Accepted,お通し代300円,
809,Umanamiyashimbashi(馬並み家 新橋),"Izakaya (Tavern), Meat dishes, Japanese food (other)",050-5457-1105      (+81-50-5457-1105)    (For reservation only)        03-3508-5131        (+81-3-3508-5131)      (For inquiry)予約可,2-chome-9-17 Shinbashi Minato City Tokyo-to                                     東京都                                              港区                                                新橋                                              2-9-17                                          第二常磐ビル1F                    Show larger map,ＪＲ新橋駅　徒歩1分　地下鉄銀座線新橋駅　徒歩1分　都営浅草線新橋駅　徒歩1分　179 meters from Shimbashi.,平日17：00～23：30土日15：00～23：30Open on sundays,無休　12/29～12/31 16:00~23:00　1/1 休業　1/2～1/3 通常営業,"Dinner:￥4,000～￥4,999Lunch:～￥999",Credit Cards Accepted                  (VISA、Master、JCB、AMEX、Diners)                Electronic money Not AcceptedQR code payment Not Accepted,500円,
810,Kazan(KAZAN),"Seafood, Italian, French",050-5869-0586      (+81-50-5869-0586)    (For reservation only)        03-3562-8050        (+81-3-3562-8050)      (For inquiry)予約可,3-chome-4-6 Ginza Chuo City Tokyo-to                                     東京都                                              中央区                                                銀座                                              3-4-6                                          正隆銀座ビル １Ｆ                    Show larger map,地下鉄銀座駅 徒歩2分／JR線有楽町駅 徒歩5分189 meters from Ginza.,【月～土】11:30～15:00(L.O.14:00)17:30～22:30(L.O.21:30)【日・祝】11:30～15:00(L.O.14:00)17:30～22:00(L.O.21:00)Open on sundays,元旦のみ,"Dinner:￥8,000～￥9,999Lunch:￥3,000～￥3,999",Credit Cards Accepted                  (VISA、Master、JCB、AMEX、Diners)                Electronic money Not AcceptedQR code payment Accepted                    (PayPay),サービス料10％,
811,ginzafukurokuju(銀座 福禄寿 品川シーズンテラス店),"Cafe, Shaved ice (snow cone), Japanese food (other)",050-5570-9900      (+81-50-5570-9900)    (For reservation only)        03-6712-8555        (+81-3-6712-8555)      (For inquiry)予約可お席ご利用の場合のみご予約可テイクアウトのみのご予約は不可,1-chome-2-70 Konan Minato City Tokyo                                     東京都                                              港区                                                港南                                              1-2-70                                          品川シーズンテラス 2F                    Show larger map,JR品川駅　港南口より徒歩6分京浜急行電鉄品川駅　高輪口より徒歩9分405 meters from Takanawa Gateway.,［月〜日］11:00~19:00(L.O.18:30)Open on sundays,不定休（施設に準ずる）,Lunch:～￥999,Credit Cards Accepted                  (VISA、Master、JCB、AMEX、Diners)                Electronic money Accepted                    (Transportation electronic money(Suica)、iD、QUICPay),,
812,honkonichikyuukyuunana(香港1997 銀座店),"Chinese, Dandan noodles, Dumplings",050-3134-3997      (+81-50-3134-3997)    予約可【香港1997の感染症予防対策について】・全スタッフの就業前検温と健康チェック・全スタッフのマスク着用・店頭にアルコール消毒液をご用意しております。◇◆◇◆◇◆◇◆◇◆◇◆◇◆◇◆◇◆◇◆＜飲み放題3時間つきコース＞や＜シャンパンフルボトルサービス＞など、公式ホームページにはさらにお得なプランもございます。◇◆◇◆◇◆◇◆◇◆◇◆◇◆◇◆◇◆◇◆,2-chome-6-5 Ginza Chuo City Tokyo-to                                     東京都                                              中央区                                                銀座                                              2-6-5                                          銀座トレシャス 9F                    Show larger map,東京メトロ銀座線「銀座」駅A13出口より徒歩3分東京メトロ有楽町線「銀座一丁目」駅8番出口より徒歩1分64 meters from Ginza Itchome.,＜通常営業＞ランチ　　11:30-15:00(L.O.14:30)ディナー　17:00-22:00(L.O.フード21:00/ドリンク21:30)Open on sundays,年末年始,"Dinner:￥8,000～￥9,999Lunch:￥3,000～￥3,999",Credit Cards Accepted                  (VISA、Master、JCB、AMEX、Diners)                Electronic money Not AcceptedQR code payment Accepted,ディナータイムのみ別途サービス料10％を頂きます。,
813,mi-togyangusute-kihausushinjuku(ミートギャング・ステーキハウス新宿),Steak,050-5589-2439      (+81-50-5589-2439)    (For reservation only)        03-6457-8928        (+81-3-6457-8928)      (For inquiry)予約可,3-chome-20 Haramachi Shinjuku City Tokyo                                     東京都                                              新宿区                                                新宿                                              3-20-6                                          FSビル 8F-D                    Show larger map,各線「新宿」駅より徒歩5分新宿三丁目駅から233m236 meters from Shinjuku Sanchome.,ランチ　　12:00～15:00ディナー　16:00～24:00Open on sundays,不定休,"Dinner:￥8,000～￥9,999Lunch:￥4,000～￥4,999",Credit Cards Accepted                  (VISA、Master、JCB、AMEX、Diners)                Electronic money Not AcceptedQR code payment Not Accepted,サービス料10％を頂いております。,
